[I 211221 03:46:55 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:47:26 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:48:31 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:48:34 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:48:43 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:52:53 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:53:40 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:53:47 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:54:12 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:54:14 handlers:132] Browser Connected: http://127.0.0.1:8000/
[I 211221 03:56:45 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:56:49 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:58:16 handlers:132] Browser Connected: http://127.0.0.1:8000/predict_result.html
[I 211221 03:58:47 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:58:49 handlers:132] Browser Connected: http://127.0.0.1:8000/predict_result.html
[I 211221 03:58:51 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:58:52 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:58:55 handlers:132] Browser Connected: http://127.0.0.1:8000/predict_result.html
[I 211221 04:00:21 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 04:00:22 handlers:132] Browser Connected: http://127.0.0.1:8000/predict_result.html
[I 211221 04:00:23 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 04:00:24 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 04:00:25 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 04:00:25 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
